"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.net.dropout","model.net.hidden_dims","model.weight_decay","model.learning_rate"
"ptbxl__agg_beat_features__MLPClassifier","finished","132","2023-01-21T14:42:31.000Z","agg_beat_features","MLP","0.7269519567489624","123.23329496383668","0.5","[256,512]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","160","2023-01-21T14:39:48.000Z","agg_beat_features","MLP","0.7190782427787781","152.4446895122528","0.3","[256,512]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","73","2023-01-21T14:38:32.000Z","agg_beat_features","MLP","0.6988229751586914","64.02997064590454","0.1","[256,512]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","117","2023-01-21T14:36:30.000Z","agg_beat_features","MLP","0.7178688049316406","108.02540326118468","0","[256,512]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","73","2023-01-21T14:34:26.000Z","agg_beat_features","MLP","0.7028781175613403","65.14852118492126","0.2","[512,256]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","81","2023-01-21T14:31:43.000Z","agg_beat_features","MLP","0.6946592330932617","73.01988220214844","0.2","[128,256,512,256,128]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","69","2023-01-21T14:30:31.000Z","agg_beat_features","MLP","0.7038873434066772","61.66662788391113","0.2","[256,512,256]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","130","2023-01-21T14:28:18.000Z","agg_beat_features","MLP","0.729613184928894","120.79053115844728","0.2","[256,512]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","46","2023-01-21T14:27:29.000Z","agg_beat_features","MLP","0.6990232467651367","37.0457239151001","0.2","[512]","0.001","0.001"
"ptbxl__agg_beat_features__MLPClassifier","finished","37","2023-01-21T14:25:54.000Z","agg_beat_features","MLP","0.39952799677848816","28.922235250473022","0.2","[256,512,256]","0.001","0.1"
"ptbxl__agg_beat_features__MLPClassifier","finished","62","2023-01-21T14:24:49.000Z","agg_beat_features","MLP","0.39952799677848816","51.0928635597229","0.2","[256,512,256]","0.001","0.05"
"ptbxl__agg_beat_features__MLPClassifier","finished","103","2023-01-21T14:23:03.000Z","agg_beat_features","MLP","0.6884483098983765","96.6239776611328","0.2","[256,512,256]","0.001","0.01"
"ptbxl__agg_beat_features__MLPClassifier","finished","101","2023-01-21T14:21:19.000Z","agg_beat_features","MLP","0.7233761548995972","92.05584120750429","0.2","[256,512,256]","0.001","0.001"
