"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.max_features","model.min_samples_split","model.min_samples_leaf","model.max_depth"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","14","2023-01-20T17:54:04.000Z","agg_beat_features","Decision Tree","0.603549599647522","5.71122407913208","0.7","8","16","16"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","13","2023-01-20T17:53:48.000Z","agg_beat_features","Decision Tree","0.6168121099472046","5.981034755706787","0.7","8","8","16"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","13","2023-01-20T17:53:32.000Z","agg_beat_features","Decision Tree","0.6315180063247681","6.520226001739502","0.7","8","4","16"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","22","2023-01-20T17:53:07.000Z","agg_beat_features","Decision Tree","0.6177745461463928","6.755605697631836","0.7","8","2","16"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","15","2023-01-20T17:52:49.000Z","agg_beat_features","Decision Tree","0.6358417272567749","6.56835412979126","0.7","8","1","16"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","18","2023-01-20T17:51:23.000Z","agg_beat_features","Decision Tree","0.6247458457946777","9.500514268875122","0.7","8","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","20","2023-01-20T17:51:01.000Z","agg_beat_features","Decision Tree","0.625128984451294","9.609894275665283","0.7","8","1","64"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","15","2023-01-20T17:50:42.000Z","agg_beat_features","Decision Tree","0.620797336101532","8.484745979309082","0.7","8","1","32"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","15","2023-01-20T17:50:24.000Z","agg_beat_features","Decision Tree","0.6358417272567749","7.251981496810913","0.7","8","1","16"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","11","2023-01-20T17:50:10.000Z","agg_beat_features","Decision Tree","0.6106892824172974","2.31300687789917","0.7","8","1","4"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","15","2023-01-20T17:49:05.000Z","agg_beat_features","Decision Tree","0.5893242955207825","9.619261980056764","0.7","16","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","17","2023-01-20T17:48:45.000Z","agg_beat_features","Decision Tree","0.6247458457946777","9.33049464225769","0.7","8","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","19","2023-01-20T17:48:23.000Z","agg_beat_features","Decision Tree","0.6138080954551697","9.903572797775269","0.7","4","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","19","2023-01-20T17:48:01.000Z","agg_beat_features","Decision Tree","0.6164952516555786","9.970752716064451","0.7","2","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","19","2023-01-20T17:46:59.000Z","agg_beat_features","Decision Tree","0.6033212542533875","13.922078847885132","0.9","2","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","18","2023-01-20T17:46:38.000Z","agg_beat_features","Decision Tree","0.6164952516555786","10.03576946258545","0.7","2","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","22","2023-01-20T17:45:55.000Z","agg_beat_features","Decision Tree","0.6084837913513184","15.487089157104492","1","2","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","12","2023-01-20T17:45:19.000Z","agg_beat_features","Decision Tree","0.6047049760818481","7.07673716545105","0.5","2","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","14","2023-01-20T17:45:02.000Z","agg_beat_features","Decision Tree","0.6082569360733032","5.101300239562988","0.3","2","1",""
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","66","2023-01-20T17:43:53.000Z","agg_beat_features","Decision Tree","0.6053637266159058","1.673123836517334","0.1","2","1",""
