"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.weight_decay","model.learning_rate","model.net.conv0_channels","model.net.conv0_kernel_size","model.net.ff_dropout","model.net.ff_hidden_dims","model.net.layers"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","754","2023-01-22T16:25:29.000Z","whole_signal_waveforms","CNN","0.717897891998291","735.0670626163483","0.001","0.01","128","7","0.1","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","594","2023-01-22T16:15:31.000Z","whole_signal_waveforms","CNN","0.7050564885139465","570.9887857437134","0.001","0.01","128","7","0","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","623","2023-01-22T15:53:52.000Z","whole_signal_waveforms","CNN","0.7202835083007812","602.9864406585693","0.001","0.01","128","7","0.2","[128,64]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","403","2023-01-22T15:47:06.000Z","whole_signal_waveforms","CNN","0.7192672491073608","383.802973985672","0.001","0.01","128","7","0.2","[128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","763","2023-01-22T15:34:20.000Z","whole_signal_waveforms","CNN","0.741229772567749","741.0262153148651","0.001","0.01","128","7","0.2","[64]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","832","2023-01-22T15:19:57.000Z","whole_signal_waveforms","CNN","0.7203347682952881","808.3236970901489","0.001","0.01","128","7","0.2","[128,128]","[1,1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","231","2023-01-22T15:16:03.000Z","whole_signal_waveforms","CNN","0.39952799677848816","212.3745543956757","0.001","0.01","128","7","0.2","[128,128]","[1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","470","2023-01-22T15:08:10.000Z","whole_signal_waveforms","CNN","0.6997830271720886","454.55820751190186","0.001","0.01","128","7","0.2","[128,128]","[1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","1534","2023-01-22T14:29:59.000Z","whole_signal_waveforms","CNN","0.7181997299194336","1495.3109920024872","0.001","0.01","256","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","661","2023-01-22T14:18:54.000Z","whole_signal_waveforms","CNN","0.7238919138908386","645.7093989849091","0.001","0.01","64","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","308","2023-01-22T14:09:14.000Z","whole_signal_waveforms","CNN","0.493393987417221","290.97179532051086","0.001","0.01","128","9","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","495","2023-01-22T14:00:56.000Z","whole_signal_waveforms","CNN","0.7128908634185791","474.02100586891174","0.001","0.01","128","5","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","132","2023-01-22T13:53:07.000Z","whole_signal_waveforms","CNN","0.39952799677848816","115.63246488571168","0.001","0.1","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","615","2023-01-22T13:42:49.000Z","whole_signal_waveforms","CNN","0.7068599462509155","593.0766818523407","0.001","0.01","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__whole_signal_waveforms__CNNClassifier","finished","627","2023-01-22T13:32:19.000Z","whole_signal_waveforms","CNN","0.7484091520309448","606.4188303947449","0.001","0.001","128","7","0.2","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","340","2023-01-22T13:20:52.000Z","agg_beat_waveforms","CNN","0.7566004991531372","330.33940744400024","0.01","0.001","128","5","0","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","234","2023-01-22T13:16:55.000Z","agg_beat_waveforms","CNN","0.7445979714393616","223.2524127960205","0.0001","0.001","128","5","0","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","189","2023-01-22T13:06:10.000Z","agg_beat_waveforms","CNN","0.7391431331634521","175.42329859733582","0.001","0.001","128","5","0.3","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","320","2023-01-22T13:00:46.000Z","agg_beat_waveforms","CNN","0.7485977411270142","278.1043462753296","0.001","0.001","128","5","0.1","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","232","2023-01-22T12:56:51.000Z","agg_beat_waveforms","CNN","0.7512650489807129","220.39508032798767","0.001","0.001","128","5","0","[128,128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","356","2023-01-22T12:48:01.000Z","agg_beat_waveforms","CNN","0.7415516376495361","345.594402551651","0.001","0.001","128","5","0.2","[128,64]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","196","2023-01-22T12:44:42.000Z","agg_beat_waveforms","CNN","0.7361782789230347","185.3205006122589","0.001","0.001","128","5","0.2","[128]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","292","2023-01-22T12:39:47.000Z","agg_beat_waveforms","CNN","0.7367832660675049","281.7695212364197","0.001","0.001","128","5","0.2","[64]","[1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","216","2023-01-22T12:30:57.000Z","agg_beat_waveforms","CNN","0.7343111038208008","204.5514132976532","0.001","0.001","128","5","0.2","[128,128]","[1,1,1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","108","2023-01-22T12:29:06.000Z","agg_beat_waveforms","CNN","0.7416596412658691","98.10704803466795","0.001","0.001","128","5","0.2","[128,128]","[1,1]"
"ptbxl__agg_beat_waveforms__CNNClassifier","finished","160","2023-01-22T12:26:23.000Z","agg_beat_waveforms","CNN","0.7322203516960144","148.52796530723572","0.001","0.001","128","5","0.2","[128,128]","[1]"
